Date,USTC,FRAX,AMPL,DAI,EOSDT,USDC,USDT,PAXG,XAUT
01-11-2021,1.001808,0.997458,1.878852,1.000939,0.995157,0.999861,1.000291,1791.763428,1795.770142
02-11-2021,1.00231,0.999233,1.86973,1.00131,0.940047,0.999896,1.000815,1791.56665,1795.850586
03-11-2021,1.00441,1.003389,1.756711,1.000819,0.816678,1.000225,1.000678,1779.253296,1787.464844
04-11-2021,1.003888,0.998294,1.520222,1.000081,1.009842,1.000206,1.000857,1793.724976,1800.415894
05-11-2021,1.003383,1.004354,1.548847,1.001021,0.891854,1.000562,1.001553,1819.751953,1824.858154
06-11-2021,1.002889,1.006035,1.492604,1.001157,1.007749,1.000345,1.001454,1819.352295,1824.779053
07-11-2021,1.003301,1.000813,1.738999,1.001763,1.002478,1.000649,1.001517,1819.772217,1823.925171
08-11-2021,1.002679,0.998855,1.735663,1.001488,0.989198,0.999828,1.000443,1827.908447,1835.90271
09-11-2021,1.003871,1.001113,1.455089,0.999491,0.864705,1.000075,1.000202,1832.244141,1840.658691
10-11-2021,1.003772,1.001243,1.183978,0.987754,0.905415,0.999523,1.000097,1852.269409,1863.515137
11-11-2021,1.004228,1.004937,0.934317,1.005354,0.949628,0.999856,1.000644,1865.524536,1880.127441
12-11-2021,1.003439,1.000003,1.02502,1.00187,0.969441,0.999296,1.000114,1869.005981,1876.064453
13-11-2021,1.007727,1.004308,0.962538,1.001349,0.973597,1.00083,1.000848,1873.739258,1875.959106
14-11-2021,1.006727,1.00072,0.892781,1.000729,0.987527,0.999647,1.000367,1872.424438,1876.13562
15-11-2021,1.004968,1.004792,0.879024,1.00016,0.901913,0.999643,1.001502,1869.060425,1870.19397
16-11-2021,1.0049,1.001305,0.809981,1.001156,0.868259,1.000425,1.000675,1858.549316,1860.654297
17-11-2021,1.003207,1.002513,0.842859,1.00307,0.980884,0.99985,1.000063,1867.307861,1878.2323
18-11-2021,1.002488,1.00656,0.773738,0.996456,0.900581,0.999696,0.99997,1859.179077,1868.93811
19-11-2021,1.002145,1.000291,0.87789,1.004833,1.003152,0.999991,1.00082,1846.729492,1859.7323
20-11-2021,1.001118,1.000458,0.837188,1.007407,1.002231,0.999699,1.000362,1842.467041,1855.922729
21-11-2021,1.001993,1.002793,0.810514,0.996937,0.970014,1.000235,1.000873,1845.209351,1854.583496
22-11-2021,1.002517,0.999998,0.778339,0.996703,0.983812,0.999962,1.000451,1811.94812,1816.7052
23-11-2021,1.000868,1.001218,0.809701,1.007526,0.988143,1.000115,1.000125,1792.428589,1791.6875
